bodyId,x,y,z
613079053,24630,30204,8496
613083298,28056,29711,5336
613083317,28966,29470,4376
613083359,28932,29138,6240
613083375,27740,29186,4800
613338546,8120,13658,13936
613386220,16355,33432,11296
613398716,20747,36275,17728
613420343,20371,29307,4912
613835634,33831,34453,17112
613847777,29305,33034,9344
630373425,12409,14115,7464
630373497,15087,16662,8160
630377642,13877,13536,8640
630381662,14935,13325,8624
630381893,15907,15329,9520
630714299,13296,35333,27416
630722830,8001,13964,8712
630722941,16534,15490,7544
630727056,11206,10948,12312
630731599,14962,10482,11680
630748479,16701,13108,9392
631051012,7222,13769,9168
631051057,9902,13340,9720
631055506,7888,12898,9936
631059587,10681,13419,8904
631064055,17268,16524,8256
631374662,11056,14026,9216
631396256,11445,12461,8840
631396453,10188,14266,8072
631396532,9232,14143,8808
631400190,10585,14777,7488
631400288,8100,14995,7704
631400598,15669,16982,7480
631400622,10161,14714,7792
631400693,17165,15679,7432
631422121,17246,16563,7008
631422224,8601,13504,8240
631659204,5523,14648,9168
631733127,8294,13934,7944
631737164,10467,16508,6288
631737380,9507,13476,8128
631741308,9606,15074,7104
631741483,12940,16333,6792
632013356,6554,14829,9280
632017828,7041,14959,9440
632048075,7536,15569,8056
632069728,6533,17130,6424
632069757,7214,16889,7376
632069851,6522,16551,6424
632082635,11362,16650,6576
632086737,11284,15119,7744
632091116,15564,16538,9520
632341464,5330,15190,9424
632397510,6803,16812,6104
632397750,9314,16361,8504
632397780,7948,16110,7456
632397786,9228,16781,7864
632397798,9157,17060,7496
632402333,6927,16729,6744
632734572,6861,16340,7040
632764978,11322,16164,7304
632808044,19208,16500,6680
633097828,2928,25798,20728
633144545,17964,16653,7584
633148704,17515,17236,5504
633148716,18135,17095,7264
633148859,19217,18387,5504
633149039,18875,17646,5248
633149202,19025,17364,5664
633438933,1828,14406,12656
633498748,20963,18246,6520
633793553,1954,23488,22320
634038998,15102,29867,7096
634759240,19275,34311,33280
635048729,20356,35019,34416
635062078,21958,35825,32496
635109166,13375,9531,21688
635416407,14114,35486,28408
635882644,15874,15745,9696
635890732,9975,10590,22088
635895000,5123,14263,14768
635908014,21799,31368,5944
636789034,11618,32239,20496
636789080,23193,35727,27096
636798093,8131,13659,13376
637540087,12208,34832,23560
639276164,13715,33180,34656
639585968,21341,35686,14360
640281116,5842,18565,4508
640617445,12079,34512,24152
640630581,12328,34998,21272
640963528,6162,28915,18768
640963556,5194,19329,5952
641291034,16816,27664,4616
641645610,8568,13107,13408
641653381,9185,15130,8400
641688553,18573,32327,8032
641709938,18494,36165,20296
642335523,8794,11722,14448
642335553,17250,17035,7752
642387775,17533,34672,14312
642629827,8565,12853,16720
642660081,12789,34121,23792
642664141,6016,14793,12360
642680823,10921,11892,14800
642680826,15946,17152,8192
642680853,15364,9793,13272
642680881,17401,12407,10704
642680969,7977,16091,7952
642681035,12056,14288,7232
642689607,19487,16543,7648
642702809,15058,32900,21168
642715563,11893,33547,16416
642715622,18936,28418,36232
642715875,11157,33284,16208
642720054,12465,30547,20664
642732835,20661,36311,18624
643142863,31637,34548,15672
643307064,9835,11000,18536
643329030,19298,16186,12240
643362770,17773,14437,8152
643363111,15048,10032,12480
643501489,30669,34508,15552
643523134,31106,34524,17128
643535876,31105,32957,9528
643679015,13042,12730,15088
643691163,6267,19930,4136
643703819,7940,14277,7792
643717679,12104,34214,25384
643739027,13223,34291,20896
643773259,28754,28646,4016
643794320,23914,29405,4152
644113913,28372,30704,4984
644118254,26571,29475,6168
644148539,20552,29039,5376
644148561,22284,29468,3640
644148647,21248,30207,4664
644148661,22824,29761,3648
644148705,23618,29773,4008
644152981,22121,29897,3960
644153089,24510,30168,5672
644417074,22150,35966,19856
644433538,14247,33656,19864
644450565,19566,31131,7264
644450686,21795,32207,6192
644761952,4964,21591,4688
644788121,20071,28814,5688
644870768,28753,33412,11744
644896959,33878,33600,14436
645090294,21272,35294,12944
645224664,32405,34117,13928
645449236,7115,12471,16432
645456880,10660,10853,31240
660730340,14746,15390,7256
661080007,15014,16226,8592
661084049,15893,14323,8272
661399477,9669,14917,9016
661407917,15351,16583,8400
661408094,8065,14251,9528
661430106,17150,15315,8944
661430179,15913,16269,7696
661740651,15557,13333,8960
661757811,10191,11108,13152
662081640,8368,12728,9960
662085486,9017,14100,8304
662094168,17959,17808,5696
662103124,11267,10487,14504
662107551,16326,17181,7336
662107593,20070,17867,6496
662409505,8846,16051,6832
662409582,9461,15342,7568
662418320,8853,12425,10544
662452625,18326,12652,9440
662461539,17130,12976,9552
662711769,6906,14186,9968
662728826,7813,14575,8960
